Date,IT Department,Cost Element,Country,Actual
1/01/2020,Administration,External Labor,United Kingdom,"1,754"
1/01/2020,Administration,External Labor,USA,"24,376"
1/01/2020,Administration,Hardware Maintenance,USA,"5,345"
1/01/2020,Administration,Inbound Allocations,United Kingdom,318
1/01/2020,Administration,Internal Labor,Italy,"5,599"
1/01/2020,Administration,Internal Labor,United Kingdom,"21,365"
1/01/2020,Administration,Internal Labor,USA,"90,994"
1/01/2020,Administration,Legal,USA,"7,258"
1/01/2020,Administration,Moving,USA,404
1/01/2020,Administration,Other,Italy,12
1/01/2020,Administration,Other,United Kingdom,18
1/01/2020,Administration,Other,USA,"-3,239"
1/01/2020,Administration,Outbound Allocations,United Kingdom,685
1/01/2020,Administration,Severance,Italy,388
1/01/2020,Administration,Software,USA,5
1/01/2020,Administration,Supplies,USA,17
1/01/2020,Administration,Telecomm,Italy,2
1/01/2020,Administration,Telecomm,United Kingdom,103
1/01/2020,Administration,Travel,USA,"6,934"
1/01/2020,Administration,Vehicles,United Kingdom,62
1/01/2020,Architecture,Depreciation,USA,693
1/01/2020,Architecture,Internal Labor,USA,"41,537"
1/01/2020,Architecture,Supplies,USA,26
1/01/2020,Architecture,Taxes,USA,48
1/01/2020,Architecture,Training,USA,14
1/01/2020,Architecture,Travel,USA,54
1/01/2020,Business Intelligence,Employee Performance,USA,2
1/01/2020,Business Intelligence,External Labor,USA,"3,636"
1/01/2020,Business Intelligence,Internal Labor,USA,"64,388"
1/01/2020,Business Intelligence,Supplies,USA,19
1/01/2020,Core,External Labor,USA,"1,723"
1/01/2020,Core,Internal Labor,USA,"20,476"
1/01/2020,Core,Training,USA,399
1/01/2020,Core,Travel,USA,108
1/01/2020,Core Infrastructure,Amortization,Mexico,691
1/01/2020,Core Infrastructure,Depreciation,Brazil,"14,333"
1/01/2020,Core Infrastructure,Depreciation,Canada,"10,731"
1/01/2020,Core Infrastructure,Depreciation,Mexico,"2,148"
1/01/2020,Core Infrastructure,Depreciation,New Zealand,"5,944"
1/01/2020,Core Infrastructure,Employee Performance,USA,30
1/01/2020,Core Infrastructure,External Labor,Brazil,"12,109"
1/01/2020,Core Infrastructure,External Labor,Canada,"15,054"
1/01/2020,Core Infrastructure,External Labor,Mexico,"5,169"
1/01/2020,Core Infrastructure,External Labor,New Zealand,-687
1/01/2020,Core Infrastructure,External Labor,USA,"35,183"
1/01/2020,Core Infrastructure,Hardware,Brazil,"1,192"
1/01/2020,Core Infrastructure,Hardware,Mexico,"36,859"
1/01/2020,Core Infrastructure,Hardware,New Zealand,"29,980"
1/01/2020,Core Infrastructure,Hardware Maintenance,Brazil,432
1/01/2020,Core Infrastructure,Hardware Maintenance,Mexico,"4,253"
1/01/2020,Core Infrastructure,Hardware Maintenance,New Zealand,15
1/01/2020,Core Infrastructure,Hardware Maintenance,USA,46
1/01/2020,Core Infrastructure,Internal Labor,Brazil,"14,726"
